filename, language, SCSS, TypeScript, HTML, comment, blank, total
main/modules/vacation-request-list/vacation-request-list-routing.module.ts, TypeScript, 0, 11, 0, 0, 4, 15
main/modules/vacation-request-list/vacation-request-list.component.html, HTML, 0, 0, 43, 0, 2, 45
main/modules/vacation-request-list/vacation-request-list.component.scss, SCSS, 27, 0, 0, 0, 5, 32
main/modules/vacation-request-list/vacation-request-list.component.ts, TypeScript, 0, 54, 0, 5, 11, 70
main/modules/vacation-request-list/vacation-request-list.module.ts, TypeScript, 0, 26, 0, 0, 4, 30
main/modules/vacation-request/vacation-request-routing.module.ts, TypeScript, 0, 11, 0, 0, 5, 16
main/modules/vacation-request/vacation-request.component.html, HTML, 0, 0, 37, 0, 0, 37
main/modules/vacation-request/vacation-request.component.scss, SCSS, 46, 0, 0, 0, 5, 51
main/modules/vacation-request/vacation-request.component.ts, TypeScript, 0, 67, 0, 3, 12, 82
main/modules/vacation-request/vacation-request.module.ts, TypeScript, 0, 27, 0, 0, 3, 30
Total, -, 562, 1415, 444, 107, 403, 2931
